y	x	group	clickSelects
48.81155	2.30173	1	2009-04-09:18:11:56
48.81111	2.30272	1	2009-04-09:18:11:56
48.8117	2.30356	1	2009-04-09:18:11:56
48.81219	2.30453	1	2009-04-09:18:11:56
48.81274	2.30537	1	2009-04-09:18:11:56
48.81323	2.30631	1	2009-04-09:18:11:56
48.81381	2.30725	1	2009-04-09:18:11:56
48.81432	2.30812	1	2009-04-09:18:11:56
48.81491	2.30885	1	2009-04-09:18:11:56
48.81523	2.30985	1	2009-04-09:18:11:56
48.81581	2.31068	1	2009-04-09:18:11:56
48.81613	2.31173	1	2009-04-09:18:11:56
48.81654	2.31284	1	2009-04-09:18:11:56
48.81687	2.31395	1	2009-04-09:18:11:56
48.81721	2.31501	1	2009-04-09:18:11:56
48.81755	2.31611	1	2009-04-09:18:11:56
48.81791	2.31725	1	2009-04-09:18:11:56
48.8183	2.31832	1	2009-04-09:18:11:56
48.81851	2.31953	1	2009-04-09:18:11:56
48.81842	2.32075	1	2009-04-09:18:11:56
48.81827	2.32192	1	2009-04-09:18:11:56
48.81814	2.32307	1	2009-04-09:18:11:56
48.81789	2.32416	1	2009-04-09:18:11:56
48.81782	2.32537	1	2009-04-09:18:11:56
48.81754	2.32637	1	2009-04-09:18:11:56
48.81791	2.32681	1	2009-04-09:18:11:56
48.81871	2.32685	1	2009-04-09:18:11:56
48.81938	2.32715	1	2009-04-09:18:11:56
48.81898	2.3282	1	2009-04-09:18:11:56
48.81864	2.32933	1	2009-04-09:18:11:56
48.8186	2.33056	1	2009-04-09:18:11:56
48.81851	2.33172	1	2009-04-09:18:11:56
48.81824	2.33282	1	2009-04-09:18:11:56
48.81774	2.33376	1	2009-04-09:18:11:56
48.81813	2.33463	1	2009-04-09:18:11:56
48.81865	2.33545	1	2009-04-09:18:11:56
48.81887	2.3366	1	2009-04-09:18:11:56
48.81876	2.33778	1	2009-04-09:18:11:56
48.81865	2.339	1	2009-04-09:18:11:56
48.81935	2.33916	1	2009-04-09:18:11:56
48.81939	2.33919	1	2009-04-09:18:11:56
48.81941	2.33921	1	2009-04-09:18:11:56
48.81943	2.33922	1	2009-04-09:18:11:56
48.81945	2.33924	1	2009-04-09:18:11:56
48.81947	2.33926	1	2009-04-09:18:11:56
48.8195	2.33928	1	2009-04-09:18:11:56
48.81953	2.33929	1	2009-04-09:18:11:56
48.81955	2.33931	1	2009-04-09:18:11:56
48.81957	2.33931	1	2009-04-09:18:11:56
48.8196	2.33934	1	2009-04-09:18:11:56
48.81962	2.33937	1	2009-04-09:18:11:56
48.81963	2.3394	1	2009-04-09:18:11:56
48.81964	2.33942	1	2009-04-09:18:11:56
48.81966	2.33944	1	2009-04-09:18:11:56
48.81966	2.33943	1	2009-04-09:18:11:56
48.81965	2.33941	1	2009-04-09:18:11:56
