fill	colour	y	x	key	showSelected1	showSelected2	showSelected3
#000000	#000000	48.76631	2.18003	end	2009-05-07:06:49:31	ride	end
#FFFFFF	#000000	48.76624	2.18013	start	2009-05-07:18:30:24	ride	start
#000000	#000000	48.82012	2.33988	end	2009-05-07:18:30:24	ride	end
#FFFFFF	#000000	48.81144	2.30183	start	2009-05-11:10:43:59	ride	start
#000000	#000000	48.76642	2.18107	end	2009-05-11:10:43:59	ride	end
#FFFFFF	#000000	48.75764	2.19157	start	2009-05-11:17:11:27	ride	start
#000000	#000000	48.82003	2.33973	end	2009-05-11:17:11:27	ride	end
#FFFFFF	#000000	48.81115	2.29974	start	2009-05-12:07:08:48	ride	start
#000000	#000000	48.76633	2.18124	end	2009-05-12:07:08:48	ride	end
#FFFFFF	#000000	48.75587	2.21705	start	2009-05-12:17:04:56	ride	start
#000000	#000000	48.78831	2.25885	end	2009-05-12:17:04:56	ride	end
#FFFFFF	#000000	48.80943	2.29802	start	2009-05-12:17:53:45	ride	start
#000000	#000000	48.82728	2.35198	end	2009-05-12:17:53:45	ride	end
#FFFFFF	#000000	48.81852	2.32015	start	2009-05-13:06:56:19	ride	start
#000000	#000000	48.76641	2.18109	end	2009-05-13:06:56:19	ride	end
#FFFFFF	#000000	48.76646	2.18101	start	2009-05-13:16:31:56	ride	start
#000000	#000000	48.82002	2.33917	end	2009-05-13:16:31:56	ride	end
#FFFFFF	#000000	48.81617	2.30795	start	2009-05-14:08:25:13	ride	start
#000000	#000000	48.7664	2.18105	end	2009-05-14:08:25:13	ride	end
#FFFFFF	#000000	48.76637	2.18071	start	2009-05-14:16:54:51	ride	start
#000000	#000000	48.81997	2.33968	end	2009-05-14:16:54:51	ride	end
#FFFFFF	#000000	48.8174	2.33131	start	2009-05-18:07:12:45	ride	start
#000000	#000000	48.76614	2.18031	end	2009-05-18:07:12:45	ride	end
#FFFFFF	#000000	48.82119	2.33435	start	2009-05-19:07:16:30	ride	start
#000000	#000000	48.76627	2.17997	end	2009-05-19:07:16:30	ride	end
#FFFFFF	#000000	48.76634	2.18011	start	2009-05-19:17:16:32	ride	start
#000000	#000000	48.82019	2.33971	end	2009-05-19:17:16:32	ride	end
#FFFFFF	#000000	48.82001	2.33974	start	2009-05-20:08:14:40	ride	start
#000000	#000000	48.76625	2.18007	end	2009-05-20:08:14:40	ride	end
#FFFFFF	#000000	48.76632	2.18004	start	2009-05-20:16:12:12	ride	start
#000000	#000000	48.81992	2.33971	end	2009-05-20:16:12:12	ride	end
#FFFFFF	#000000	48.94596	2.15634	start	2009-05-21:10:39:03	ride	start
#000000	#000000	48.93759	2.15665	end	2009-05-21:10:39:03	ride	end
#FFFFFF	#000000	48.93759	2.15665	start	2009-05-21:15:09:59	ride	start
#000000	#000000	48.81967	2.33946	end	2009-05-21:15:09:59	ride	end
#FFFFFF	#000000	48.82129	2.33498	start	2009-05-22:09:04:06	ride	start
#000000	#000000	48.84985	2.37908	end	2009-05-22:09:04:06	ride	end
#FFFFFF	#000000	48.85142	2.36315	start	2009-05-22:11:50:59	ride	start
#000000	#000000	48.82244	2.34631	end	2009-05-22:11:50:59	ride	end
#FFFFFF	#000000	48.76586	2.17995	start	2009-05-25:16:22:05	ride	start
#000000	#000000	48.81973	2.33985	end	2009-05-25:16:22:05	ride	end
#FFFFFF	#000000	48.84438	2.35224	start	2009-05-25:18:21:16	ride	start
#000000	#000000	48.8199	2.33949	end	2009-05-25:18:21:16	ride	end
#FFFFFF	#000000	48.76636	2.18084	start	2009-05-26:17:46:35	ride	start
#000000	#000000	48.86039	2.37855	end	2009-05-26:17:46:35	ride	end
#FFFFFF	#000000	48.81943	2.33989	start	2009-05-27:06:59:24	ride	start
#000000	#000000	48.76633	2.18	end	2009-05-27:06:59:24	ride	end
#FFFFFF	#000000	48.76626	2.18015	start	2009-05-27:16:39:11	ride	start
#000000	#000000	48.81976	2.33915	end	2009-05-27:16:39:11	ride	end
#FFFFFF	#000000	48.82015	2.33941	start	2009-05-28:08:25:08	ride	start
#000000	#000000	48.76619	2.18007	end	2009-05-28:08:25:08	ride	end
#FFFFFF	#000000	48.75761	2.19165	start	2009-05-28:18:53:51	ride	start
#000000	#000000	48.82016	2.33994	end	2009-05-28:18:53:51	ride	end
#FFFFFF	#000000	48.83716	2.35965	start	2009-05-30:07:22:36	ride	start
#000000	#000000	48.82028	2.33964	end	2009-05-30:07:22:36	ride	end
#FFFFFF	#000000	48.82006	2.33979	start	2009-05-30:08:29:31	ride	start
#000000	#000000	48.70458	2.56231	end	2009-05-30:08:29:31	ride	end
#FFFFFF	#000000	48.70453	2.55576	start	2009-05-30:14:48:13	ride	start
#000000	#000000	48.89033	2.37239	end	2009-05-30:14:48:13	ride	end
#FFFFFF	#000000	48.88895	2.3741	start	2009-05-30:17:58:35	ride	start
#000000	#000000	48.90511	2.21093	end	2009-05-30:17:58:35	ride	end
#FFFFFF	#000000	48.90494	2.21105	start	2009-05-30:21:33:48	ride	start
#000000	#000000	49.01635	2.37972	end	2009-05-30:21:33:48	ride	end
#FFFFFF	#000000	48.76407	2.1713	start	2009-06-02:17:17:15	ride	start
#000000	#000000	48.8537	2.36975	end	2009-06-02:17:17:15	ride	end
#FFFFFF	#000000	48.75991	2.22094	start	2009-06-03:20:05:43	ride	start
#000000	#000000	48.86698	2.37444	end	2009-06-03:20:05:43	ride	end
#FFFFFF	#000000	48.81993	2.33375	start	2009-06-05:07:34:48	ride	start
#000000	#000000	48.76621	2.18001	end	2009-06-05:07:34:48	ride	end
#FFFFFF	#000000	48.82124	2.33409	start	2009-06-07:10:23:12	ride	start
#000000	#000000	48.81917	2.33901	end	2009-06-07:10:23:12	ride	end
#FFFFFF	#000000	48.8682	2.36808	start	2009-06-14:04:41:58	ride	start
#000000	#000000	48.96181	2.89689	end	2009-06-14:04:41:58	ride	end
#FFFFFF	#000000	48.96182	2.89688	start	2009-06-14:08:18:32	ride	start
#000000	#000000	49.17557	3.12614	end	2009-06-14:08:18:32	ride	end
#FFFFFF	#000000	49.17556	3.1262	start	2009-06-14:11:41:19	ride	start
#000000	#000000	49.14296	3.09392	end	2009-06-14:11:41:19	ride	end
#FFFFFF	#000000	49.06823	3.01718	start	2009-06-14:16:15:28	ride	start
#000000	#000000	48.95702	2.87338	end	2009-06-14:16:15:28	ride	end
#FFFFFF	#000000	48.89577	2.40232	start	2009-06-18:14:21:13	ride	start
#000000	#000000	49.01519	2.54178	end	2009-06-18:14:21:13	ride	end
#FFFFFF	#000000	48.81683	2.31402	start	2009-06-22:08:55:44	ride	start
#000000	#000000	48.71033	2.1763	end	2009-06-22:08:55:44	ride	end
#FFFFFF	#000000	48.71034	2.17634	start	2009-06-22:10:24:12	ride	start
#000000	#000000	48.76624	2.18131	end	2009-06-22:10:24:12	ride	end
#FFFFFF	#000000	48.76643	2.1809	start	2009-06-23:16:32:10	ride	start
#000000	#000000	48.81998	2.33936	end	2009-06-23:16:32:10	ride	end
#FFFFFF	#000000	48.81996	2.33955	start	2009-06-23:20:12:13	ride	start
#000000	#000000	48.80835	2.13284	end	2009-06-23:20:12:13	ride	end
#FFFFFF	#000000	48.80869	2.13501	start	2009-06-23:22:03:48	ride	start
#000000	#000000	48.81994	2.3398	end	2009-06-23:22:03:48	ride	end
#FFFFFF	#000000	48.84227	2.3443	start	2009-06-24:11:03:54	ride	start
#000000	#000000	48.76638	2.1813	end	2009-06-24:11:03:54	ride	end
#FFFFFF	#000000	48.87944	2.36994	start	2009-06-27:07:55:49	ride	start
#000000	#000000	49.08675	2.55224	end	2009-06-27:07:55:49	ride	end
#FFFFFF	#000000	49.08677	2.55224	start	2009-06-27:17:24:36	ride	start
#000000	#000000	48.88231	2.33827	end	2009-06-27:17:24:36	ride	end
#FFFFFF	#000000	48.78131	2.18592	start	2009-07-04:10:46:25	ride	start
#000000	#000000	48.88987	1.68135	end	2009-07-04:10:46:25	ride	end
#FFFFFF	#000000	48.88987	1.68135	start	2009-07-04:14:24:26	ride	start
#000000	#000000	48.69057	1.07349	end	2009-07-04:14:24:26	ride	end
#FFFFFF	#000000	48.68884	1.07212	start	2009-07-04:19:12:01	ride	start
#000000	#000000	48.60698	0.91765	end	2009-07-04:19:12:01	ride	end
#FFFFFF	#000000	48.81102	2.30485	start	2009-07-30:12:11:53	ride	start
#000000	#000000	48.81117	2.38417	end	2009-07-30:12:11:53	ride	end
#FFFFFF	#000000	48.8617	2.49161	start	2009-08-09:10:28:17	ride	start
#000000	#000000	48.85642	2.35746	end	2009-08-09:10:28:17	ride	end
#FFFFFF	#000000	48.85782	2.33521	start	2009-08-10:07:34:42	ride	start
#000000	#000000	48.76631	2.18142	end	2009-08-10:07:34:42	ride	end
#FFFFFF	#000000	48.85809	2.33357	start	2009-08-11:07:48:30	ride	start
#000000	#000000	48.76637	2.18158	end	2009-08-11:07:48:30	ride	end
#FFFFFF	#000000	48.90968	2.28637	start	2009-08-16:06:47:55	ride	start
#000000	#000000	49.19137	2.4857	end	2009-08-16:06:47:55	ride	end
