colour	y	x	key	label	showSelected1	showSelected2	showSelected3	group
#FF0000	48.3	1	start	start: montrouge (92049), hauts-de-seine (92), Île-de-France	2009-05-04:07:18:11	start	nearby cities	134
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-04:07:18:11	end	nearby cities	23
#FF0000	48.3	1	start	start: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-04:16:13:39	start	nearby cities	135
#FF0000	48.2	1	end	end: gentilly (94037), val-de-marne (94), Île-de-France	2009-05-04:16:13:39	end	nearby cities	24
#FF0000	48.3	1	start	start: montrouge (92049), hauts-de-seine (92), Île-de-France	2009-05-05:08:02:31	start	nearby cities	136
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-05:08:02:31	end	nearby cities	25
#FF0000	48.3	1	start	start: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-05:16:32:25	start	nearby cities	137
#FF0000	48.2	1	end	end: gentilly (94037), val-de-marne (94), Île-de-France	2009-05-05:16:32:25	end	nearby cities	26
#FF0000	48.3	1	start	start: montrouge (92049), hauts-de-seine (92), Île-de-France	2009-05-06:07:59:05	start	nearby cities	138
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-06:07:59:05	end	nearby cities	27
#FF0000	48.3	1	start	start: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-06:16:22:50	start	nearby cities	139
#FF0000	48.2	1	end	end: bagnolet (93006), seine-saint-denis (93), Île-de-France	2009-05-06:16:22:50	end	nearby cities	28
#FF0000	48.3	1	start	start: montrouge (92049), hauts-de-seine (92), Île-de-France	2009-05-07:06:49:31	start	nearby cities	140
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-07:06:49:31	end	nearby cities	29
#FF0000	48.3	1	start	start: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-07:18:30:24	start	nearby cities	141
#FF0000	48.2	1	end	end: gentilly (94037), val-de-marne (94), Île-de-France	2009-05-07:18:30:24	end	nearby cities	30
#FF0000	48.3	1	start	start: malakoff (92046), hauts-de-seine (92), Île-de-France	2009-05-11:10:43:59	start	nearby cities	142
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-11:10:43:59	end	nearby cities	31
#FF0000	48.3	1	start	start: bievres (91064), essonne (91), Île-de-France	2009-05-11:17:11:27	start	nearby cities	143
#FF0000	48.2	1	end	end: gentilly (94037), val-de-marne (94), Île-de-France	2009-05-11:17:11:27	end	nearby cities	32
#FF0000	48.3	1	start	start: malakoff (92046), hauts-de-seine (92), Île-de-France	2009-05-12:07:08:48	start	nearby cities	144
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-12:07:08:48	end	nearby cities	33
#FF0000	48.3	1	start	start: bievres (91064), essonne (91), Île-de-France	2009-05-12:17:04:56	start	nearby cities	145
#FF0000	48.2	1	end	end: le plessis robinson (92060), hauts-de-seine (92), Île-de-France	2009-05-12:17:04:56	end	nearby cities	34
#FF0000	48.3	1	start	start: malakoff (92046), hauts-de-seine (92), Île-de-France	2009-05-12:17:53:45	start	nearby cities	146
#FF0000	48.2	1	end	end: paris (75113), paris (75), Île-de-France	2009-05-12:17:53:45	end	nearby cities	35
#FF0000	48.3	1	start	start: montrouge (92049), hauts-de-seine (92), Île-de-France	2009-05-13:06:56:19	start	nearby cities	147
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-13:06:56:19	end	nearby cities	36
#FF0000	48.3	1	start	start: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-13:16:31:56	start	nearby cities	148
