colour	y	x	label	key	showSelected1	showSelected2	showSelected3	group	anchor
#FF0000	48.765889291	2.163600257	jouy en josas	start	2009-04-09:18:11:56	start	nearby cities	112	end
#FF0000	48.813266743	2.344190973	gentilly	end	2009-04-09:18:11:56	end	nearby cities	1	start
#FF0000	48.783768446	2.454728618	creteil	start	2009-04-11:09:52:48	start	nearby cities	113	end
#FF0000	48.696591847	2.561137172	perigny sur yerres	end	2009-04-11:09:52:48	end	nearby cities	2	start
#FF0000	48.696591847	2.561137172	perigny sur yerres	start	2009-04-11:15:51:05	start	nearby cities	114	start
#FF0000	48.813266743	2.344190973	gentilly	end	2009-04-11:15:51:05	end	nearby cities	3	end
#FF0000	48.854350603	2.357625608	paris	start	2009-04-13:11:59:58	start	nearby cities	115	end
#FF0000	48.876129334	2.360715102	paris	end	2009-04-13:11:59:58	end	nearby cities	4	start
#FF0000	48.844452823	2.350706645	paris	start	2009-04-13:16:39:34	start	nearby cities	116	start
#FF0000	48.813266743	2.344190973	gentilly	end	2009-04-13:16:39:34	end	nearby cities	5	end
#FF0000	48.829262233	2.326537267	paris	start	2009-04-21:06:54:34	start	nearby cities	117	start
#FF0000	48.765889291	2.163600257	jouy en josas	end	2009-04-21:06:54:34	end	nearby cities	6	end
#FF0000	48.75659431	2.206465776	bievres	start	2009-04-21:17:04:43	start	nearby cities	118	end
#FF0000	48.828424546	2.362253766	paris	end	2009-04-21:17:04:43	end	nearby cities	7	start
#FF0000	48.815232931	2.317223763	montrouge	start	2009-04-22:07:22:38	start	nearby cities	119	start
#FF0000	48.765889291	2.163600257	jouy en josas	end	2009-04-22:07:22:38	end	nearby cities	8	end
#FF0000	48.765889291	2.163600257	jouy en josas	start	2009-04-22:17:10:06	start	nearby cities	120	end
#FF0000	48.828424546	2.362253766	paris	end	2009-04-22:17:10:06	end	nearby cities	9	start
#FF0000	48.815232931	2.317223763	montrouge	start	2009-04-23:07:07:29	start	nearby cities	121	start
#FF0000	48.765889291	2.163600257	jouy en josas	end	2009-04-23:07:07:29	end	nearby cities	10	end
#FF0000	48.75659431	2.206465776	bievres	start	2009-04-27:16:57:48	start	nearby cities	122	end
#FF0000	48.813266743	2.344190973	gentilly	end	2009-04-27:16:57:48	end	nearby cities	11	start
#FF0000	48.816575085	2.296075861	malakoff	start	2009-04-28:07:06:02	start	nearby cities	123	start
#FF0000	48.765889291	2.163600257	jouy en josas	end	2009-04-28:07:06:02	end	nearby cities	12	end
#FF0000	48.765889291	2.163600257	jouy en josas	start	2009-04-28:16:52:05	start	nearby cities	124	end
#FF0000	48.813266743	2.344190973	gentilly	end	2009-04-28:16:52:05	end	nearby cities	13	start
#FF0000	48.844452823	2.350706645	paris	start	2009-04-29:09:00:28	start	nearby cities	125	start
#FF0000	48.765889291	2.163600257	jouy en josas	end	2009-04-29:09:00:28	end	nearby cities	14	end
#FF0000	48.75659431	2.206465776	bievres	start	2009-04-29:16:24:31	start	nearby cities	126	end
#FF0000	48.813266743	2.344190973	gentilly	end	2009-04-29:16:24:31	end	nearby cities	15	start
#FF0000	48.815232931	2.317223763	montrouge	start	2009-04-29:17:49:15	start	nearby cities	127	end
#FF0000	48.813266743	2.344190973	gentilly	end	2009-04-29:17:49:15	end	nearby cities	16	start
