y	x	clickSelects
16.3101141535698	1239293516	2009-04-09:18:11:56
17.5950375080848	1239436368	2009-04-11:09:52:48
24.416662171887	1239457865	2009-04-11:15:51:05
6.64334484544985	1239616798	2009-04-13:11:59:58
4.07121504149446	1239633574	2009-04-13:16:39:34
20.9474413967279	1240289674	2009-04-21:06:54:34
16.7276260324828	1240326283	2009-04-21:17:04:43
15.3797188432458	1240377758	2009-04-22:07:22:38
19.2351089578874	1240413006	2009-04-22:17:10:06
21.358159382193	1240463249	2009-04-23:07:07:29
13.7065740224642	1240844268	2009-04-27:16:57:48
14.3234971017922	1240895162	2009-04-28:07:06:02
17.9398941766817	1240930325	2009-04-28:16:52:05
22.6801853312107	1240988428	2009-04-29:09:00:28
15.5485402092089	1241015071	2009-04-29:16:24:31
13.4348069498274	1241020155	2009-04-29:17:49:15
16.7525791211067	1241067020	2009-04-30:06:50:20
16.735930201183	1241103265	2009-04-30:16:54:25
51.9602500219071	1241148512	2009-05-01:05:28:32
59.5804773805334	1241162863	2009-05-01:09:27:43
45.8556991496939	1241174513	2009-05-01:12:41:53
34.2946068351432	1241185936	2009-05-01:15:52:16
14.9343835694266	1241414291	2009-05-04:07:18:11
16.3716339141396	1241446419	2009-05-04:16:13:39
15.9002006218982	1241503351	2009-05-05:08:02:31
17.8255163062346	1241533945	2009-05-05:16:32:25
14.9888199508865	1241589545	2009-05-06:07:59:05
27.6483306908792	1241619770	2009-05-06:16:22:50
15.8969018837604	1241671771	2009-05-07:06:49:31
17.6473314102145	1241713824	2009-05-07:18:30:24
14.2825639311313	1242031439	2009-05-11:10:43:59
15.1995879533714	1242054687	2009-05-11:17:11:27
15.364097507398	1242104928	2009-05-12:07:08:48
5.26580711707349	1242140696	2009-05-12:17:04:56
5.69309782059963	1242143625	2009-05-12:17:53:45
16.0013365647288	1242190579	2009-05-13:06:56:19
17.8620094061682	1242225116	2009-05-13:16:31:56
15.0056875404985	1242282313	2009-05-14:08:25:13
17.7704733167031	1242312891	2009-05-14:16:54:51
16.780559272174	1242623565	2009-05-18:07:12:45
17.2780511968298	1242710190	2009-05-19:07:16:30
17.6772875573835	1242746192	2009-05-19:17:16:32
17.6564693687472	1242800080	2009-05-20:08:14:40
17.6616347162406	1242828732	2009-05-20:16:12:12
16.496897610911	1242895143	2009-05-21:10:39:03
30.4196859839921	1242911399	2009-05-21:15:09:59
13.221690889553	1242975846	2009-05-22:09:04:06
4.4343561102286	1242985859	2009-05-22:11:50:59
17.6885356031239	1243261325	2009-05-25:16:22:05
8.31739204602553	1243268476	2009-05-25:18:21:16
23.0752257637097	1243352795	2009-05-26:17:46:35
17.7477763815993	1243400364	2009-05-27:06:59:24
17.7498920284656	1243435151	2009-05-27:16:39:11
17.8415545230949	1243491908	2009-05-28:08:25:08
15.3060343486174	1243529631	2009-05-28:18:53:51
2.96411836184908	1243660956	2009-05-30:07:22:36
25.0076682544636	1243664971	2009-05-30:08:29:31
29.6129204799017	1243687693	2009-05-30:14:48:13
16.1636665787594	1243699115	2009-05-30:17:58:35
28.8496522025824	1243712028	2009-05-30:21:33:48
21.9708445471903	1243955835	2009-06-02:17:17:15
19.1630166966677	1244052343	2009-06-03:20:05:43
17.3367904012409	1244180088	2009-06-05:07:34:48
26.9175073409606	1244362992	2009-06-07:10:23:12
54.5512808483864	1244947318	2009-06-14:04:41:58
49.4769907651642	1244960312	2009-06-14:08:18:32
12.4209036149894	1244972479	2009-06-14:11:41:19
17.9605927037571	1244988928	2009-06-14:16:15:28
27.410454957755	1245327673	2009-06-18:14:21:13
21.1259911030047	1245653744	2009-06-22:08:55:44
13.7014987971685	1245659052	2009-06-22:10:24:12
20.0652419463137	1245767530	2009-06-23:16:32:10
22.3573102013377	1245780733	2009-06-23:20:12:13
22.1086826962211	1245787428	2009-06-23:22:03:48
17.6790154619877	1245834234	2009-06-24:11:03:54
42.8357860415479	1246082149	2009-06-27:07:55:49
30.9579648655102	1246116276	2009-06-27:17:24:36
52.8747226689863	1246697185	2009-07-04:10:46:25
55.1503270830341	1246710266	2009-07-04:14:24:26
18.3138265049016	1246727521	2009-07-04:19:12:01
9.19305200310886	1248948713	2009-07-30:12:11:53
52.4436039058928	1249806497	2009-08-09:10:28:17
20.4219490524676	1249882482	2009-08-10:07:34:42
19.6465828564281	1249969710	2009-08-11:07:48:30
58.4762338025022	1250398075	2009-08-16:06:47:55
42.1646006620931	1250414777	2009-08-16:11:26:17
30.878431005611	1250695197	2009-08-19:17:19:57
45.9536291996869	1251002658	2009-08-23:06:44:18
47.0612914096818	1251013133	2009-08-23:09:38:53
22.0629771372529	1251388683	2009-08-27:17:58:03
11.0301681879742	1251400921	2009-08-27:21:22:01
19.8543366435235	1251435051	2009-08-28:06:50:51
46.1906714231528	1251544123	2009-08-29:13:08:43
25.7356368968139	1251599346	2009-08-30:04:29:06
62.0837187151974	1251609768	2009-08-30:07:22:48
50.8830630719482	1251626125	2009-08-30:11:55:25
17.9790234065917	1251637012	2009-08-30:14:56:52
16.9196537896551	1251642826	2009-08-30:16:33:46
15.6521394952534	1252310910	2009-09-07:10:08:30
32.5505623638999	1254024699	2009-09-27:06:11:39
46.7137109962639	1254032381	2009-09-27:08:19:41
9.84557536807258	1254042262	2009-09-27:11:04:22
24.1756132936006	1254048829	2009-09-27:12:53:49
42.9996851988764	1254053950	2009-09-27:14:19:10
19.6867367888213	1254648958	2009-10-04:11:35:58
27.075013090037	1254654621	2009-10-04:13:10:21
6.8864175331981	1254933671	2009-10-07:18:41:11
48.6991430242608	1255243899	2009-10-11:08:51:39
17.9780969602748	1255255811	2009-10-11:12:10:11
64.7025490749922	1256451757	2009-10-25:07:22:37
44.0246060093384	1256462719	2009-10-25:10:25:19
