y	x	key	showSelected1	group
48.80069	2.28378	1	2009-04-09:18:11:56	1
48.80134	2.28458	1	2009-04-09:18:11:56	1
48.80195	2.28549	1	2009-04-09:18:11:56	1
48.80251	2.28648	1	2009-04-09:18:11:56	1
48.80304	2.28733	1	2009-04-09:18:11:56	1
48.80368	2.28822	1	2009-04-09:18:11:56	1
48.80419	2.28914	1	2009-04-09:18:11:56	1
48.80474	2.29002	1	2009-04-09:18:11:56	1
48.80533	2.29085	1	2009-04-09:18:11:56	1
48.80591	2.29184	1	2009-04-09:18:11:56	1
48.80645	2.29281	1	2009-04-09:18:11:56	1
48.80694	2.29379	1	2009-04-09:18:11:56	1
48.80743	2.29466	1	2009-04-09:18:11:56	1
48.8077	2.29516	1	2009-04-09:18:11:56	1
48.80798	2.29564	1	2009-04-09:18:11:56	1
48.80831	2.29665	1	2009-04-09:18:11:56	1
48.80896	2.29729	1	2009-04-09:18:11:56	1
48.80954	2.2981	1	2009-04-09:18:11:56	1
48.81011	2.29886	1	2009-04-09:18:11:56	1
48.81076	2.29946	1	2009-04-09:18:11:56	1
48.81129	2.30029	1	2009-04-09:18:11:56	1
48.81197	2.30076	1	2009-04-09:18:11:56	1
48.81155	2.30173	1	2009-04-09:18:11:56	1
48.81111	2.30272	1	2009-04-09:18:11:56	1
48.8117	2.30356	1	2009-04-09:18:11:56	1
48.81219	2.30453	1	2009-04-09:18:11:56	1
48.81274	2.30537	1	2009-04-09:18:11:56	1
48.81323	2.30631	1	2009-04-09:18:11:56	1
48.81381	2.30725	1	2009-04-09:18:11:56	1
48.81432	2.30812	1	2009-04-09:18:11:56	1
48.81491	2.30885	1	2009-04-09:18:11:56	1
48.81523	2.30985	1	2009-04-09:18:11:56	1
48.81581	2.31068	1	2009-04-09:18:11:56	1
48.81613	2.31173	1	2009-04-09:18:11:56	1
48.81654	2.31284	1	2009-04-09:18:11:56	1
48.81687	2.31395	1	2009-04-09:18:11:56	1
48.81721	2.31501	1	2009-04-09:18:11:56	1
48.81755	2.31611	1	2009-04-09:18:11:56	1
48.81791	2.31725	1	2009-04-09:18:11:56	1
48.8183	2.31832	1	2009-04-09:18:11:56	1
48.81851	2.31953	1	2009-04-09:18:11:56	1
48.81842	2.32075	1	2009-04-09:18:11:56	1
48.81827	2.32192	1	2009-04-09:18:11:56	1
48.81814	2.32307	1	2009-04-09:18:11:56	1
48.81789	2.32416	1	2009-04-09:18:11:56	1
48.81782	2.32537	1	2009-04-09:18:11:56	1
48.81754	2.32637	1	2009-04-09:18:11:56	1
48.81791	2.32681	1	2009-04-09:18:11:56	1
48.81871	2.32685	1	2009-04-09:18:11:56	1
48.81938	2.32715	1	2009-04-09:18:11:56	1
48.81898	2.3282	1	2009-04-09:18:11:56	1
48.81864	2.32933	1	2009-04-09:18:11:56	1
48.8186	2.33056	1	2009-04-09:18:11:56	1
48.81851	2.33172	1	2009-04-09:18:11:56	1
48.81824	2.33282	1	2009-04-09:18:11:56	1
48.81774	2.33376	1	2009-04-09:18:11:56	1
48.81813	2.33463	1	2009-04-09:18:11:56	1
48.81865	2.33545	1	2009-04-09:18:11:56	1
48.81887	2.3366	1	2009-04-09:18:11:56	1
48.81876	2.33778	1	2009-04-09:18:11:56	1
48.81865	2.339	1	2009-04-09:18:11:56	1
48.81935	2.33916	1	2009-04-09:18:11:56	1
48.81939	2.33919	1	2009-04-09:18:11:56	1
48.81941	2.33921	1	2009-04-09:18:11:56	1
48.81943	2.33922	1	2009-04-09:18:11:56	1
48.81945	2.33924	1	2009-04-09:18:11:56	1
48.81947	2.33926	1	2009-04-09:18:11:56	1
48.8195	2.33928	1	2009-04-09:18:11:56	1
48.81953	2.33929	1	2009-04-09:18:11:56	1
48.81955	2.33931	1	2009-04-09:18:11:56	1
48.81957	2.33931	1	2009-04-09:18:11:56	1
48.8196	2.33934	1	2009-04-09:18:11:56	1
48.81962	2.33937	1	2009-04-09:18:11:56	1
48.81963	2.3394	1	2009-04-09:18:11:56	1
48.81964	2.33942	1	2009-04-09:18:11:56	1
48.81966	2.33944	1	2009-04-09:18:11:56	1
48.81966	2.33943	1	2009-04-09:18:11:56	1
48.81965	2.33941	1	2009-04-09:18:11:56	1
48.81964	2.33939	1	2009-04-09:18:11:56	1
48.81965	2.33935	1	2009-04-09:18:11:56	1
48.81964	2.33933	1	2009-04-09:18:11:56	1
48.81964	2.33931	1	2009-04-09:18:11:56	1
48.81966	2.33932	1	2009-04-09:18:11:56	1
48.81966	2.33932	1	2009-04-09:18:11:56	1
48.77634	2.44841	1	2009-04-11:09:52:48	2
48.77658	2.44731	1	2009-04-11:09:52:48	2
48.7759	2.44645	1	2009-04-11:09:52:48	2
48.77504	2.44649	1	2009-04-11:09:52:48	2
48.7742	2.44764	1	2009-04-11:09:52:48	2
48.77339	2.44855	1	2009-04-11:09:52:48	2
48.77335	2.44849	1	2009-04-11:09:52:48	2
48.77273	2.44938	1	2009-04-11:09:52:48	2
48.77235	2.45026	1	2009-04-11:09:52:48	2
48.77195	2.45112	1	2009-04-11:09:52:48	2
48.77149	2.45243	1	2009-04-11:09:52:48	2
48.77153	2.45343	1	2009-04-11:09:52:48	2
48.77105	2.45444	1	2009-04-11:09:52:48	2
48.77092	2.45569	1	2009-04-11:09:52:48	2
48.77042	2.45691	1	2009-04-11:09:52:48	2
48.77006	2.4579	1	2009-04-11:09:52:48	2
48.76972	2.45915	1	2009-04-11:09:52:48	2
48.76942	2.4605	1	2009-04-11:09:52:48	2
48.76965	2.46148	1	2009-04-11:09:52:48	2
48.77017	2.46175	1	2009-04-11:09:52:48	2
48.76976	2.46305	1	2009-04-11:09:52:48	2
48.7695	2.46436	1	2009-04-11:09:52:48	2
48.76916	2.46555	1	2009-04-11:09:52:48	2
48.76879	2.46679	1	2009-04-11:09:52:48	2
48.76855	2.46822	1	2009-04-11:09:52:48	2
48.76821	2.4696	1	2009-04-11:09:52:48	2
48.76868	2.47035	1	2009-04-11:09:52:48	2
48.76841	2.47161	1	2009-04-11:09:52:48	2
48.76811	2.47287	1	2009-04-11:09:52:48	2
48.76867	2.47387	1	2009-04-11:09:52:48	2
48.76926	2.47475	1	2009-04-11:09:52:48	2
48.76988	2.47561	1	2009-04-11:09:52:48	2
48.77041	2.47639	1	2009-04-11:09:52:48	2
48.77087	2.47702	1	2009-04-11:09:52:48	2
48.77145	2.47789	1	2009-04-11:09:52:48	2
48.7721	2.47881	1	2009-04-11:09:52:48	2
48.77272	2.4797	1	2009-04-11:09:52:48	2
48.77329	2.48056	1	2009-04-11:09:52:48	2
48.77394	2.48148	1	2009-04-11:09:52:48	2
48.77366	2.48237	1	2009-04-11:09:52:48	2
48.77295	2.48315	1	2009-04-11:09:52:48	2
48.77228	2.48386	1	2009-04-11:09:52:48	2
48.77153	2.48457	1	2009-04-11:09:52:48	2
48.77079	2.4853	1	2009-04-11:09:52:48	2
48.77011	2.48601	1	2009-04-11:09:52:48	2
48.76935	2.48666	1	2009-04-11:09:52:48	2
48.7686	2.48733	1	2009-04-11:09:52:48	2
48.7679	2.48806	1	2009-04-11:09:52:48	2
48.76718	2.48882	1	2009-04-11:09:52:48	2
48.76647	2.48962	1	2009-04-11:09:52:48	2
48.76578	2.49048	1	2009-04-11:09:52:48	2
48.76513	2.49146	1	2009-04-11:09:52:48	2
48.76446	2.49238	1	2009-04-11:09:52:48	2
48.76379	2.49332	1	2009-04-11:09:52:48	2
48.76308	2.4942	1	2009-04-11:09:52:48	2
48.76218	2.49538	1	2009-04-11:09:52:48	2
48.76154	2.49621	1	2009-04-11:09:52:48	2
48.76091	2.49705	1	2009-04-11:09:52:48	2
48.76034	2.49802	1	2009-04-11:09:52:48	2
48.75978	2.49909	1	2009-04-11:09:52:48	2
48.75918	2.50015	1	2009-04-11:09:52:48	2
48.75858	2.5011	1	2009-04-11:09:52:48	2
48.75802	2.50207	1	2009-04-11:09:52:48	2
48.75741	2.50298	1	2009-04-11:09:52:48	2
48.75709	2.50345	1	2009-04-11:09:52:48	2
48.75664	2.5041	1	2009-04-11:09:52:48	2
48.75591	2.50472	1	2009-04-11:09:52:48	2
48.7551	2.50498	1	2009-04-11:09:52:48	2
48.75463	2.50583	1	2009-04-11:09:52:48	2
48.75389	2.50635	1	2009-04-11:09:52:48	2
48.75306	2.50658	1	2009-04-11:09:52:48	2
48.75217	2.50661	1	2009-04-11:09:52:48	2
48.75138	2.50704	1	2009-04-11:09:52:48	2
48.75067	2.5076	1	2009-04-11:09:52:48	2
48.74988	2.50808	1	2009-04-11:09:52:48	2
48.7491	2.50862	1	2009-04-11:09:52:48	2
48.7483	2.50916	1	2009-04-11:09:52:48	2
48.74751	2.50969	1	2009-04-11:09:52:48	2
48.74677	2.51024	1	2009-04-11:09:52:48	2
48.74602	2.51074	1	2009-04-11:09:52:48	2
48.74528	2.5113	1	2009-04-11:09:52:48	2
48.74448	2.51183	1	2009-04-11:09:52:48	2
48.74372	2.51245	1	2009-04-11:09:52:48	2
48.74302	2.51302	1	2009-04-11:09:52:48	2
48.74229	2.51364	1	2009-04-11:09:52:48	2
48.74154	2.51424	1	2009-04-11:09:52:48	2
48.74081	2.51481	1	2009-04-11:09:52:48	2
48.74011	2.51541	1	2009-04-11:09:52:48	2
48.73938	2.51601	1	2009-04-11:09:52:48	2
48.73868	2.51662	1	2009-04-11:09:52:48	2
48.738	2.51717	1	2009-04-11:09:52:48	2
48.73729	2.51776	1	2009-04-11:09:52:48	2
48.73654	2.51836	1	2009-04-11:09:52:48	2
48.73581	2.5189	1	2009-04-11:09:52:48	2
48.73507	2.51951	1	2009-04-11:09:52:48	2
48.73438	2.52017	1	2009-04-11:09:52:48	2
48.73367	2.52098	1	2009-04-11:09:52:48	2
48.73297	2.52161	1	2009-04-11:09:52:48	2
48.73226	2.52228	1	2009-04-11:09:52:48	2
48.73166	2.52311	1	2009-04-11:09:52:48	2
48.73115	2.52403	1	2009-04-11:09:52:48	2
48.73066	2.52501	1	2009-04-11:09:52:48	2
48.73008	2.52594	1	2009-04-11:09:52:48	2
48.72953	2.52688	1	2009-04-11:09:52:48	2
48.72898	2.52783	1	2009-04-11:09:52:48	2
48.72849	2.52872	1	2009-04-11:09:52:48	2
48.72796	2.52971	1	2009-04-11:09:52:48	2
48.7275	2.53079	1	2009-04-11:09:52:48	2
48.72679	2.53111	1	2009-04-11:09:52:48	2
48.72595	2.53129	1	2009-04-11:09:52:48	2
48.72515	2.53123	1	2009-04-11:09:52:48	2
48.72432	2.53114	1	2009-04-11:09:52:48	2
48.72354	2.53154	1	2009-04-11:09:52:48	2
48.72312	2.53259	1	2009-04-11:09:52:48	2
48.72251	2.53339	1	2009-04-11:09:52:48	2
48.72178	2.53352	1	2009-04-11:09:52:48	2
48.72098	2.53336	1	2009-04-11:09:52:48	2
48.7201	2.53312	1	2009-04-11:09:52:48	2
48.71958	2.53406	1	2009-04-11:09:52:48	2
48.71881	2.53427	1	2009-04-11:09:52:48	2
48.71812	2.53502	1	2009-04-11:09:52:48	2
48.71746	2.53582	1	2009-04-11:09:52:48	2
48.71688	2.53686	1	2009-04-11:09:52:48	2
48.71615	2.53741	1	2009-04-11:09:52:48	2
48.71529	2.53723	1	2009-04-11:09:52:48	2
48.71443	2.53733	1	2009-04-11:09:52:48	2
48.71363	2.53779	1	2009-04-11:09:52:48	2
48.71279	2.53824	1	2009-04-11:09:52:48	2
48.71198	2.5387	1	2009-04-11:09:52:48	2
48.71118	2.53905	1	2009-04-11:09:52:48	2
48.71043	2.53961	1	2009-04-11:09:52:48	2
48.70971	2.54023	1	2009-04-11:09:52:48	2
48.70901	2.54095	1	2009-04-11:09:52:48	2
48.70833	2.54159	1	2009-04-11:09:52:48	2
48.70759	2.54209	1	2009-04-11:09:52:48	2
48.70707	2.54297	1	2009-04-11:09:52:48	2
48.70655	2.54397	1	2009-04-11:09:52:48	2
48.70598	2.54482	1	2009-04-11:09:52:48	2
48.70534	2.54558	1	2009-04-11:09:52:48	2
48.70455	2.54572	1	2009-04-11:09:52:48	2
48.70378	2.54538	1	2009-04-11:09:52:48	2
48.70303	2.54503	1	2009-04-11:09:52:48	2
48.70241	2.54514	1	2009-04-11:09:52:48	2
48.70277	2.54598	1	2009-04-11:09:52:48	2
48.70295	2.54722	1	2009-04-11:09:52:48	2
48.70312	2.54842	1	2009-04-11:09:52:48	2
48.70347	2.54952	1	2009-04-11:09:52:48	2
48.70394	2.55054	1	2009-04-11:09:52:48	2
48.7045	2.5514	1	2009-04-11:09:52:48	2
48.70505	2.55224	1	2009-04-11:09:52:48	2
48.70562	2.55306	1	2009-04-11:09:52:48	2
48.70554	2.55398	1	2009-04-11:09:52:48	2
48.70503	2.55488	1	2009-04-11:09:52:48	2
48.7045	2.5558	1	2009-04-11:09:52:48	2
48.70508	2.55663	1	2009-04-11:09:52:48	2
48.70568	2.55745	1	2009-04-11:09:52:48	2
48.70628	2.55824	1	2009-04-11:09:52:48	2
48.70694	2.55898	1	2009-04-11:09:52:48	2
48.70758	2.55972	1	2009-04-11:09:52:48	2
48.70823	2.5605	1	2009-04-11:09:52:48	2
48.70904	2.56092	1	2009-04-11:09:52:48	2
48.70979	2.56141	1	2009-04-11:09:52:48	2
48.70995	2.56151	1	2009-04-11:09:52:48	2
48.70968	2.56023	1	2009-04-11:09:52:48	2
48.70951	2.55891	1	2009-04-11:09:52:48	2
48.70955	2.55755	1	2009-04-11:09:52:48	2
48.70881	2.55699	1	2009-04-11:09:52:48	2
48.70811	2.55638	1	2009-04-11:09:52:48	2
48.70746	2.55559	1	2009-04-11:09:52:48	2
48.70684	2.55474	1	2009-04-11:09:52:48	2
48.70621	2.55395	1	2009-04-11:09:52:48	2
48.70556	2.55401	1	2009-04-11:09:52:48	2
48.70504	2.55488	1	2009-04-11:09:52:48	2
48.70453	2.55581	1	2009-04-11:09:52:48	2
48.7051	2.55666	1	2009-04-11:09:52:48	2
48.70563	2.55694	1	2009-04-11:09:52:48	2
48.70596	2.55786	1	2009-04-11:09:52:48	2
48.7062	2.55815	1	2009-04-11:09:52:48	2
48.70684	2.55893	1	2009-04-11:09:52:48	2
48.70656	2.55859	1	2009-04-11:09:52:48	2
48.70592	2.5578	1	2009-04-11:09:52:48	2
48.70531	2.557	1	2009-04-11:09:52:48	2
48.70488	2.55637	1	2009-04-11:09:52:48	2
48.70557	2.55729	1	2009-04-11:09:52:48	2
48.70619	2.55812	1	2009-04-11:09:52:48	2
48.70683	2.55887	1	2009-04-11:09:52:48	2
48.7075	2.55961	1	2009-04-11:09:52:48	2
48.70807	2.56044	1	2009-04-11:09:52:48	2
48.70775	2.5616	1	2009-04-11:09:52:48	2
48.70741	2.56272	1	2009-04-11:09:52:48	2
48.70709	2.56394	1	2009-04-11:09:52:48	2
48.70675	2.56505	1	2009-04-11:09:52:48	2
48.70603	2.56436	1	2009-04-11:09:52:48	2
48.70538	2.56364	1	2009-04-11:09:52:48	2
48.70475	2.56287	1	2009-04-11:09:52:48	2
48.70456	2.56262	1	2009-04-11:09:52:48	2
48.70455	2.5626	1	2009-04-11:09:52:48	2
48.70456	2.56258	1	2009-04-11:09:52:48	2
48.70458	2.56253	1	2009-04-11:09:52:48	2
48.70458	2.56254	1	2009-04-11:09:52:48	2
48.70457	2.56254	1	2009-04-11:09:52:48	2
48.70458	2.56252	1	2009-04-11:09:52:48	2
48.70461	2.56251	1	2009-04-11:09:52:48	2
48.70463	2.56251	1	2009-04-11:09:52:48	2
48.70465	2.56251	1	2009-04-11:09:52:48	2
48.70469	2.56246	1	2009-04-11:09:52:48	2
48.70469	2.56243	1	2009-04-11:09:52:48	2
48.70469	2.56241	1	2009-04-11:09:52:48	2
48.70469	2.56239	1	2009-04-11:09:52:48	2
48.70468	2.56237	1	2009-04-11:09:52:48	2
48.70468	2.56234	1	2009-04-11:09:52:48	2
48.70467	2.56232	1	2009-04-11:09:52:48	2
48.70467	2.5623	1	2009-04-11:09:52:48	2
48.70467	2.56228	1	2009-04-11:09:52:48	2
48.70465	2.56227	1	2009-04-11:09:52:48	2
48.70463	2.56228	1	2009-04-11:09:52:48	2
48.70461	2.56229	1	2009-04-11:09:52:48	2
48.70457	2.56225	1	2009-04-11:09:52:48	2
48.70456	2.56225	1	2009-04-11:15:51:05	3
48.70294	2.56014	1	2009-04-11:15:51:05	3
48.70354	2.55751	1	2009-04-11:15:51:05	3
48.70506	2.55488	1	2009-04-11:15:51:05	3
48.70541	2.55275	1	2009-04-11:15:51:05	3
48.704	2.55069	1	2009-04-11:15:51:05	3
48.70296	2.54761	1	2009-04-11:15:51:05	3
48.70293	2.54502	1	2009-04-11:15:51:05	3
48.70477	2.54577	1	2009-04-11:15:51:05	3
48.70655	2.54399	1	2009-04-11:15:51:05	3
48.70808	2.5419	1	2009-04-11:15:51:05	3
48.70989	2.54012	1	2009-04-11:15:51:05	3
48.71198	2.53877	1	2009-04-11:15:51:05	3
48.71403	2.53764	1	2009-04-11:15:51:05	3
48.71583	2.53741	1	2009-04-11:15:51:05	3
48.7174	2.53622	1	2009-04-11:15:51:05	3
48.7185	2.53457	1	2009-04-11:15:51:05	3
48.7196	2.53399	1	2009-04-11:15:51:05	3
48.72096	2.53347	1	2009-04-11:15:51:05	3
48.72259	2.53336	1	2009-04-11:15:51:05	3
48.72399	2.53116	1	2009-04-11:15:51:05	3
48.72563	2.53128	1	2009-04-11:15:51:05	3
48.72722	2.53101	1	2009-04-11:15:51:05	3
48.72834	2.5292	1	2009-04-11:15:51:05	3
48.72952	2.5271	1	2009-04-11:15:51:05	3
48.73067	2.525	1	2009-04-11:15:51:05	3
48.73182	2.52301	1	2009-04-11:15:51:05	3
48.73322	2.52145	1	2009-04-11:15:51:05	3
48.73474	2.5203	1	2009-04-11:15:51:05	3
48.73636	2.51893	1	2009-04-11:15:51:05	3
48.73795	2.51751	1	2009-04-11:15:51:05	3
48.73961	2.51612	1	2009-04-11:15:51:05	3
48.74086	2.51508	1	2009-04-11:15:51:05	3
48.74179	2.51433	1	2009-04-11:15:51:05	3
48.7432	2.51313	1	2009-04-11:15:51:05	3
48.74463	2.51198	1	2009-04-11:15:51:05	3
48.74606	2.51085	1	2009-04-11:15:51:05	3
48.74752	2.50978	1	2009-04-11:15:51:05	3
48.74907	2.5087	1	2009-04-11:15:51:05	3
48.75049	2.50761	1	2009-04-11:15:51:05	3
48.75205	2.50665	1	2009-04-11:15:51:05	3
48.75369	2.50662	1	2009-04-11:15:51:05	3
48.75513	2.50531	1	2009-04-11:15:51:05	3
48.75679	2.50459	1	2009-04-11:15:51:05	3
48.75823	2.50343	1	2009-04-11:15:51:05	3
48.75899	2.5012	1	2009-04-11:15:51:05	3
48.76002	2.49911	1	2009-04-11:15:51:05	3
48.76105	2.49714	1	2009-04-11:15:51:05	3
48.76225	2.49553	1	2009-04-11:15:51:05	3
48.76358	2.49371	1	2009-04-11:15:51:05	3
48.76483	2.49209	1	2009-04-11:15:51:05	3
48.76607	2.49049	1	2009-04-11:15:51:05	3
48.76732	2.489	1	2009-04-11:15:51:05	3
48.76863	2.48775	1	2009-04-11:15:51:05	3
48.76995	2.48629	1	2009-04-11:15:51:05	3
48.7713	2.48492	1	2009-04-11:15:51:05	3
48.77269	2.48347	1	2009-04-11:15:51:05	3
48.77405	2.48209	1	2009-04-11:15:51:05	3
48.77541	2.48068	1	2009-04-11:15:51:05	3
48.77676	2.47931	1	2009-04-11:15:51:05	3
48.77811	2.47787	1	2009-04-11:15:51:05	3
48.77954	2.4764	1	2009-04-11:15:51:05	3
48.78087	2.47504	1	2009-04-11:15:51:05	3
48.7823	2.47361	1	2009-04-11:15:51:05	3
48.78298	2.47291	1	2009-04-11:15:51:05	3
48.78432	2.47153	1	2009-04-11:15:51:05	3
48.78565	2.47017	1	2009-04-11:15:51:05	3
48.78696	2.4688	1	2009-04-11:15:51:05	3
48.78829	2.46747	1	2009-04-11:15:51:05	3
48.78939	2.46562	1	2009-04-11:15:51:05	3
48.7903	2.46365	1	2009-04-11:15:51:05	3
48.79142	2.46215	1	2009-04-11:15:51:05	3
48.79293	2.46146	1	2009-04-11:15:51:05	3
48.79435	2.46033	1	2009-04-11:15:51:05	3
48.79553	2.45879	1	2009-04-11:15:51:05	3
48.79682	2.45733	1	2009-04-11:15:51:05	3
48.79798	2.45574	1	2009-04-11:15:51:05	3
48.79906	2.45394	1	2009-04-11:15:51:05	3
48.80007	2.452	1	2009-04-11:15:51:05	3
48.80099	2.45	1	2009-04-11:15:51:05	3
48.80201	2.44817	1	2009-04-11:15:51:05	3
48.80304	2.4463	1	2009-04-11:15:51:05	3
48.80413	2.44448	1	2009-04-11:15:51:05	3
48.805	2.44255	1	2009-04-11:15:51:05	3
48.80601	2.44063	1	2009-04-11:15:51:05	3
48.80694	2.43873	1	2009-04-11:15:51:05	3
48.80794	2.43688	1	2009-04-11:15:51:05	3
48.80898	2.43503	1	2009-04-11:15:51:05	3
48.80999	2.43314	1	2009-04-11:15:51:05	3
48.81102	2.43135	1	2009-04-11:15:51:05	3
48.81208	2.42956	1	2009-04-11:15:51:05	3
48.81296	2.42746	1	2009-04-11:15:51:05	3
48.81397	2.42563	1	2009-04-11:15:51:05	3
48.81458	2.42335	1	2009-04-11:15:51:05	3
48.81535	2.42118	1	2009-04-11:15:51:05	3
48.81506	2.41904	1	2009-04-11:15:51:05	3
48.81456	2.41689	1	2009-04-11:15:51:05	3
48.81442	2.41449	1	2009-04-11:15:51:05	3
48.8146	2.41214	1	2009-04-11:15:51:05	3
48.81458	2.40961	1	2009-04-11:15:51:05	3
48.81457	2.40712	1	2009-04-11:15:51:05	3
