fill	colour	y	x	key	showSelected1	showSelected2	showSelected3
#FFFFFF	#FF0000	48.765889291	2.163600257	start	2009-04-09:18:11:56	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-04-09:18:11:56	end	nearby cities
#FFFFFF	#FF0000	48.783768446	2.454728618	start	2009-04-11:09:52:48	start	nearby cities
#000000	#FF0000	48.696591847	2.561137172	end	2009-04-11:09:52:48	end	nearby cities
#FFFFFF	#FF0000	48.696591847	2.561137172	start	2009-04-11:15:51:05	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-04-11:15:51:05	end	nearby cities
#FFFFFF	#FF0000	48.854350603	2.357625608	start	2009-04-13:11:59:58	start	nearby cities
#000000	#FF0000	48.876129334	2.360715102	end	2009-04-13:11:59:58	end	nearby cities
#FFFFFF	#FF0000	48.844452823	2.350706645	start	2009-04-13:16:39:34	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-04-13:16:39:34	end	nearby cities
#FFFFFF	#FF0000	48.829262233	2.326537267	start	2009-04-21:06:54:34	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-04-21:06:54:34	end	nearby cities
#FFFFFF	#FF0000	48.75659431	2.206465776	start	2009-04-21:17:04:43	start	nearby cities
#000000	#FF0000	48.828424546	2.362253766	end	2009-04-21:17:04:43	end	nearby cities
#FFFFFF	#FF0000	48.815232931	2.317223763	start	2009-04-22:07:22:38	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-04-22:07:22:38	end	nearby cities
#FFFFFF	#FF0000	48.765889291	2.163600257	start	2009-04-22:17:10:06	start	nearby cities
#000000	#FF0000	48.828424546	2.362253766	end	2009-04-22:17:10:06	end	nearby cities
#FFFFFF	#FF0000	48.815232931	2.317223763	start	2009-04-23:07:07:29	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-04-23:07:07:29	end	nearby cities
#FFFFFF	#FF0000	48.75659431	2.206465776	start	2009-04-27:16:57:48	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-04-27:16:57:48	end	nearby cities
#FFFFFF	#FF0000	48.816575085	2.296075861	start	2009-04-28:07:06:02	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-04-28:07:06:02	end	nearby cities
#FFFFFF	#FF0000	48.765889291	2.163600257	start	2009-04-28:16:52:05	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-04-28:16:52:05	end	nearby cities
#FFFFFF	#FF0000	48.844452823	2.350706645	start	2009-04-29:09:00:28	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-04-29:09:00:28	end	nearby cities
#FFFFFF	#FF0000	48.75659431	2.206465776	start	2009-04-29:16:24:31	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-04-29:16:24:31	end	nearby cities
#FFFFFF	#FF0000	48.815232931	2.317223763	start	2009-04-29:17:49:15	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-04-29:17:49:15	end	nearby cities
#FFFFFF	#FF0000	48.813266743	2.344190973	start	2009-04-30:06:50:20	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-04-30:06:50:20	end	nearby cities
#FFFFFF	#FF0000	48.765889291	2.163600257	start	2009-04-30:16:54:25	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-04-30:16:54:25	end	nearby cities
#FFFFFF	#FF0000	48.836400822	2.239066161	start	2009-05-01:05:28:32	start	nearby cities
#000000	#FF0000	48.887912901	1.684199373	end	2009-05-01:05:28:32	end	nearby cities
#FFFFFF	#FF0000	48.887912901	1.684199373	start	2009-05-01:09:27:43	start	nearby cities
#000000	#FF0000	49.013719699	1.451813635	end	2009-05-01:09:27:43	end	nearby cities
#FFFFFF	#FF0000	49.013719699	1.451813635	start	2009-05-01:12:41:53	start	nearby cities
#000000	#FF0000	48.936597607	1.9958606	end	2009-05-01:12:41:53	end	nearby cities
#FFFFFF	#FF0000	48.936597607	1.9958606	start	2009-05-01:15:52:16	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-05-01:15:52:16	end	nearby cities
#FFFFFF	#FF0000	48.815232931	2.317223763	start	2009-05-04:07:18:11	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-05-04:07:18:11	end	nearby cities
#FFFFFF	#FF0000	48.765889291	2.163600257	start	2009-05-04:16:13:39	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-05-04:16:13:39	end	nearby cities
#FFFFFF	#FF0000	48.815232931	2.317223763	start	2009-05-05:08:02:31	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-05-05:08:02:31	end	nearby cities
#FFFFFF	#FF0000	48.765889291	2.163600257	start	2009-05-05:16:32:25	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-05-05:16:32:25	end	nearby cities
#FFFFFF	#FF0000	48.815232931	2.317223763	start	2009-05-06:07:59:05	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-05-06:07:59:05	end	nearby cities
#FFFFFF	#FF0000	48.765889291	2.163600257	start	2009-05-06:16:22:50	start	nearby cities
#000000	#FF0000	48.869038019	2.422697136	end	2009-05-06:16:22:50	end	nearby cities
#FFFFFF	#FF0000	48.815232931	2.317223763	start	2009-05-07:06:49:31	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-05-07:06:49:31	end	nearby cities
#FFFFFF	#FF0000	48.765889291	2.163600257	start	2009-05-07:18:30:24	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-05-07:18:30:24	end	nearby cities
#FFFFFF	#FF0000	48.816575085	2.296075861	start	2009-05-11:10:43:59	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-05-11:10:43:59	end	nearby cities
#FFFFFF	#FF0000	48.75659431	2.206465776	start	2009-05-11:17:11:27	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-05-11:17:11:27	end	nearby cities
#FFFFFF	#FF0000	48.816575085	2.296075861	start	2009-05-12:07:08:48	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-05-12:07:08:48	end	nearby cities
#FFFFFF	#FF0000	48.75659431	2.206465776	start	2009-05-12:17:04:56	start	nearby cities
#000000	#FF0000	48.780251597	2.25980883	end	2009-05-12:17:04:56	end	nearby cities
#FFFFFF	#FF0000	48.816575085	2.296075861	start	2009-05-12:17:53:45	start	nearby cities
#000000	#FF0000	48.828424546	2.362253766	end	2009-05-12:17:53:45	end	nearby cities
#FFFFFF	#FF0000	48.815232931	2.317223763	start	2009-05-13:06:56:19	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-05-13:06:56:19	end	nearby cities
#FFFFFF	#FF0000	48.765889291	2.163600257	start	2009-05-13:16:31:56	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-05-13:16:31:56	end	nearby cities
#FFFFFF	#FF0000	48.815232931	2.317223763	start	2009-05-14:08:25:13	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-05-14:08:25:13	end	nearby cities
#FFFFFF	#FF0000	48.765889291	2.163600257	start	2009-05-14:16:54:51	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-05-14:16:54:51	end	nearby cities
#FFFFFF	#FF0000	48.813266743	2.344190973	start	2009-05-18:07:12:45	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-05-18:07:12:45	end	nearby cities
#FFFFFF	#FF0000	48.829262233	2.326537267	start	2009-05-19:07:16:30	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-05-19:07:16:30	end	nearby cities
#FFFFFF	#FF0000	48.765889291	2.163600257	start	2009-05-19:17:16:32	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-05-19:17:16:32	end	nearby cities
#FFFFFF	#FF0000	48.813266743	2.344190973	start	2009-05-20:08:14:40	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-05-20:08:14:40	end	nearby cities
#FFFFFF	#FF0000	48.765889291	2.163600257	start	2009-05-20:16:12:12	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-05-20:16:12:12	end	nearby cities
#FFFFFF	#FF0000	48.952574131	2.152458608	start	2009-05-21:10:39:03	start	nearby cities
#000000	#FF0000	48.939819605	2.17448669	end	2009-05-21:10:39:03	end	nearby cities
#FFFFFF	#FF0000	48.939819605	2.17448669	start	2009-05-21:15:09:59	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-05-21:15:09:59	end	nearby cities
#FFFFFF	#FF0000	48.829262233	2.326537267	start	2009-05-22:09:04:06	start	nearby cities
#000000	#FF0000	48.859054908	2.380025153	end	2009-05-22:09:04:06	end	nearby cities
#FFFFFF	#FF0000	48.854350603	2.357625608	start	2009-05-22:11:50:59	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-05-22:11:50:59	end	nearby cities
