fill	colour	y	x	key	showSelected1	showSelected2	showSelected3
#FFFFFF	#FF0000	48.765889291	2.163600257	start	2009-05-25:16:22:05	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-05-25:16:22:05	end	nearby cities
#FFFFFF	#FF0000	48.844452823	2.350706645	start	2009-05-25:18:21:16	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-05-25:18:21:16	end	nearby cities
#FFFFFF	#FF0000	48.765889291	2.163600257	start	2009-05-26:17:46:35	start	nearby cities
#000000	#FF0000	48.859054908	2.380025153	end	2009-05-26:17:46:35	end	nearby cities
#FFFFFF	#FF0000	48.813266743	2.344190973	start	2009-05-27:06:59:24	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-05-27:06:59:24	end	nearby cities
#FFFFFF	#FF0000	48.765889291	2.163600257	start	2009-05-27:16:39:11	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-05-27:16:39:11	end	nearby cities
#FFFFFF	#FF0000	48.813266743	2.344190973	start	2009-05-28:08:25:08	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-05-28:08:25:08	end	nearby cities
#FFFFFF	#FF0000	48.75659431	2.206465776	start	2009-05-28:18:53:51	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-05-28:18:53:51	end	nearby cities
#FFFFFF	#FF0000	48.828424546	2.362253766	start	2009-05-30:07:22:36	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-05-30:07:22:36	end	nearby cities
#FFFFFF	#FF0000	48.813266743	2.344190973	start	2009-05-30:08:29:31	start	nearby cities
#000000	#FF0000	48.696591847	2.561137172	end	2009-05-30:08:29:31	end	nearby cities
#FFFFFF	#FF0000	48.70599764	2.548010574	start	2009-05-30:14:48:13	start	nearby cities
#000000	#FF0000	48.887051437	2.384822082	end	2009-05-30:14:48:13	end	nearby cities
#FFFFFF	#FF0000	48.887051437	2.384822082	start	2009-05-30:17:58:35	start	nearby cities
#000000	#FF0000	48.896168757	2.207090178	end	2009-05-30:17:58:35	end	nearby cities
#FFFFFF	#FF0000	48.896168757	2.207090178	start	2009-05-30:21:33:48	start	nearby cities
#000000	#FF0000	49.025890296	2.384418866	end	2009-05-30:21:33:48	end	nearby cities
#FFFFFF	#FF0000	48.765889291	2.163600257	start	2009-06-02:17:17:15	start	nearby cities
#000000	#FF0000	48.854350603	2.357625608	end	2009-06-02:17:17:15	end	nearby cities
#FFFFFF	#FF0000	48.75659431	2.206465776	start	2009-06-03:20:05:43	start	nearby cities
#000000	#FF0000	48.859054908	2.380025153	end	2009-06-03:20:05:43	end	nearby cities
#FFFFFF	#FF0000	48.813266743	2.344190973	start	2009-06-05:07:34:48	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-06-05:07:34:48	end	nearby cities
#FFFFFF	#FF0000	48.829262233	2.326537267	start	2009-06-07:10:23:12	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-06-07:10:23:12	end	nearby cities
#FFFFFF	#FF0000	48.86287791	2.3599986	start	2009-06-14:04:41:58	start	nearby cities
#000000	#FF0000	48.956861307	2.90006062	end	2009-06-14:04:41:58	end	nearby cities
#FFFFFF	#FF0000	48.956861307	2.90006062	start	2009-06-14:08:18:32	start	nearby cities
#000000	#FF0000	49.176033589	3.142644717	end	2009-06-14:08:18:32	end	nearby cities
#FFFFFF	#FF0000	49.176033589	3.142644717	start	2009-06-14:11:41:19	start	nearby cities
#000000	#FF0000	49.138986386	3.073889267	end	2009-06-14:11:41:19	end	nearby cities
#FFFFFF	#FF0000	49.070063948	3.024858111	start	2009-06-14:16:15:28	start	nearby cities
#000000	#FF0000	48.956861307	2.90006062	end	2009-06-14:16:15:28	end	nearby cities
#FFFFFF	#FF0000	48.898544399	2.409100445	start	2009-06-18:14:21:13	start	nearby cities
#000000	#FF0000	49.030505299	2.548712357	end	2009-06-18:14:21:13	end	nearby cities
#FFFFFF	#FF0000	48.815232931	2.317223763	start	2009-06-22:08:55:44	start	nearby cities
#000000	#FF0000	48.700274052	2.187378773	end	2009-06-22:08:55:44	end	nearby cities
#FFFFFF	#FF0000	48.700274052	2.187378773	start	2009-06-22:10:24:12	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-06-22:10:24:12	end	nearby cities
#FFFFFF	#FF0000	48.765889291	2.163600257	start	2009-06-23:16:32:10	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-06-23:16:32:10	end	nearby cities
#FFFFFF	#FF0000	48.813266743	2.344190973	start	2009-06-23:20:12:13	start	nearby cities
#000000	#FF0000	48.802292474	2.117410101	end	2009-06-23:20:12:13	end	nearby cities
#FFFFFF	#FF0000	48.802292474	2.117410101	start	2009-06-23:22:03:48	start	nearby cities
#000000	#FF0000	48.813266743	2.344190973	end	2009-06-23:22:03:48	end	nearby cities
#FFFFFF	#FF0000	48.844452823	2.350706645	start	2009-06-24:11:03:54	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-06-24:11:03:54	end	nearby cities
#FFFFFF	#FF0000	48.876129334	2.360715102	start	2009-06-27:07:55:49	start	nearby cities
#000000	#FF0000	49.085569333	2.5525088	end	2009-06-27:07:55:49	end	nearby cities
#FFFFFF	#FF0000	49.085569333	2.5525088	start	2009-06-27:17:24:36	start	nearby cities
#000000	#FF0000	48.87716521	2.337456318	end	2009-06-27:17:24:36	end	nearby cities
#FFFFFF	#FF0000	48.783876041	2.19738706	start	2009-07-04:10:46:25	start	nearby cities
#000000	#FF0000	48.887912901	1.684199373	end	2009-07-04:10:46:25	end	nearby cities
#FFFFFF	#FF0000	48.887912901	1.684199373	start	2009-07-04:14:24:26	start	nearby cities
#000000	#FF0000	48.688649724	1.064342513	end	2009-07-04:14:24:26	end	nearby cities
#FFFFFF	#FF0000	48.688649724	1.064342513	start	2009-07-04:19:12:01	start	nearby cities
#000000	#FF0000	48.595315509	0.926255347	end	2009-07-04:19:12:01	end	nearby cities
#FFFFFF	#FF0000	48.816575085	2.296075861	start	2009-07-30:12:11:53	start	nearby cities
#000000	#FF0000	48.8122892	2.387712363	end	2009-07-30:12:11:53	end	nearby cities
#FFFFFF	#FF0000	48.864367187	2.509996689	start	2009-08-09:10:28:17	start	nearby cities
#000000	#FF0000	48.854350603	2.357625608	end	2009-08-09:10:28:17	end	nearby cities
#FFFFFF	#FF0000	48.862549876	2.336419316	start	2009-08-10:07:34:42	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-08-10:07:34:42	end	nearby cities
#FFFFFF	#FF0000	48.862549876	2.336419316	start	2009-08-11:07:48:30	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-08-11:07:48:30	end	nearby cities
#FFFFFF	#FF0000	48.91591925	2.287808861	start	2009-08-16:06:47:55	start	nearby cities
#000000	#FF0000	49.176354477	2.481195597	end	2009-08-16:06:47:55	end	nearby cities
#FFFFFF	#FF0000	49.176354477	2.481195597	start	2009-08-16:11:26:17	start	nearby cities
#000000	#FF0000	48.854350603	2.357625608	end	2009-08-16:11:26:17	end	nearby cities
#FFFFFF	#FF0000	48.736509794	2.224449897	start	2009-08-19:17:19:57	start	nearby cities
#000000	#FF0000	48.862549876	2.336419316	end	2009-08-19:17:19:57	end	nearby cities
#FFFFFF	#FF0000	48.8122892	2.387712363	start	2009-08-23:06:44:18	start	nearby cities
#000000	#FF0000	48.774023154	2.825916483	end	2009-08-23:06:44:18	end	nearby cities
#FFFFFF	#FF0000	48.774023154	2.825916483	start	2009-08-23:09:38:53	start	nearby cities
#000000	#FF0000	48.876129334	2.360715102	end	2009-08-23:09:38:53	end	nearby cities
#FFFFFF	#FF0000	48.765889291	2.163600257	start	2009-08-27:17:58:03	start	nearby cities
#000000	#FF0000	48.764258643	2.417182182	end	2009-08-27:17:58:03	end	nearby cities
#FFFFFF	#FF0000	48.764258643	2.417182182	start	2009-08-27:21:22:01	start	nearby cities
#000000	#FF0000	48.854350603	2.357625608	end	2009-08-27:21:22:01	end	nearby cities
#FFFFFF	#FF0000	48.854350603	2.357625608	start	2009-08-28:06:50:51	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-08-28:06:50:51	end	nearby cities
#FFFFFF	#FF0000	48.859054908	2.380025153	start	2009-08-29:13:08:43	start	nearby cities
#000000	#FF0000	48.854350603	2.357625608	end	2009-08-29:13:08:43	end	nearby cities
#FFFFFF	#FF0000	48.892570317	2.348176598	start	2009-08-30:04:29:06	start	nearby cities
#000000	#FF0000	49.051577748	2.094574042	end	2009-08-30:04:29:06	end	nearby cities
#FFFFFF	#FF0000	49.167126689	1.761917602	start	2009-08-30:07:22:48	start	nearby cities
#000000	#FF0000	49.441495678	1.093575536	end	2009-08-30:07:22:48	end	nearby cities
#FFFFFF	#FF0000	49.441495678	1.093575536	start	2009-08-30:11:55:25	start	nearby cities
#000000	#FF0000	49.173647826	1.410535888	end	2009-08-30:11:55:25	end	nearby cities
#FFFFFF	#FF0000	49.173647826	1.410535888	start	2009-08-30:14:56:52	start	nearby cities
#000000	#FF0000	49.082318367	1.533202189	end	2009-08-30:14:56:52	end	nearby cities
#FFFFFF	#FF0000	49.082318367	1.533202189	start	2009-08-30:16:33:46	start	nearby cities
#000000	#FF0000	49.058913046	1.741758518	end	2009-08-30:16:33:46	end	nearby cities
#FFFFFF	#FF0000	48.840071988	2.292837347	start	2009-09-07:10:08:30	start	nearby cities
#000000	#FF0000	48.765889291	2.163600257	end	2009-09-07:10:08:30	end	nearby cities
#FFFFFF	#FF0000	48.936210518	2.427612443	start	2009-09-27:06:11:39	start	nearby cities
#000000	#FF0000	49.211886416	2.585700146	end	2009-09-27:06:11:39	end	nearby cities
#FFFFFF	#FF0000	49.211886416	2.585700146	start	2009-09-27:08:19:41	start	nearby cities
#000000	#FF0000	48.892570317	2.348176598	end	2009-09-27:08:19:41	end	nearby cities
#FFFFFF	#FF0000	48.892570317	2.348176598	start	2009-09-27:11:04:22	start	nearby cities
#000000	#FF0000	48.828424546	2.362253766	end	2009-09-27:11:04:22	end	nearby cities
#FFFFFF	#FF0000	48.828424546	2.362253766	start	2009-09-27:12:53:49	start	nearby cities
#000000	#FF0000	48.772689837	2.1249651	end	2009-09-27:12:53:49	end	nearby cities
#FFFFFF	#FF0000	48.772689837	2.1249651	start	2009-09-27:14:19:10	start	nearby cities
#000000	#FF0000	48.772689837	2.1249651	end	2009-09-27:14:19:10	end	nearby cities
#FFFFFF	#FF0000	48.876129334	2.360715102	start	2009-10-04:11:35:58	start	nearby cities
#000000	#FF0000	48.941845067	2.617085746	end	2009-10-04:11:35:58	end	nearby cities
#FFFFFF	#FF0000	48.941845067	2.617085746	start	2009-10-04:13:10:21	start	nearby cities
#000000	#FF0000	48.828424546	2.362253766	end	2009-10-04:13:10:21	end	nearby cities
#FFFFFF	#FF0000	48.847539205	2.437714989	start	2009-10-07:18:41:11	start	nearby cities
#000000	#FF0000	48.828424546	2.362253766	end	2009-10-07:18:41:11	end	nearby cities
#FFFFFF	#FF0000	48.822572708	2.406597157	start	2009-10-11:08:51:39	start	nearby cities
#000000	#FF0000	48.551341945	2.554134136	end	2009-10-11:08:51:39	end	nearby cities
#FFFFFF	#FF0000	48.551341945	2.554134136	start	2009-10-11:12:10:11	start	nearby cities
#000000	#FF0000	48.55378834	2.706115035	end	2009-10-11:12:10:11	end	nearby cities
#FFFFFF	#FF0000	48.819648936	2.470749433	start	2009-10-25:07:22:37	start	nearby cities
#000000	#FF0000	48.956861307	2.90006062	end	2009-10-25:07:22:37	end	nearby cities
#FFFFFF	#FF0000	48.956861307	2.90006062	start	2009-10-25:10:25:19	start	nearby cities
#000000	#FF0000	48.86287791	2.3599986	end	2009-10-25:10:25:19	end	nearby cities
