colour	y	x	group	tooltip	showSelected1
#FFA500	48.833133318793	2.4675819883673	3	Paris (75)	Dept. en IDF
#FFA500	48.819059770564	2.4626960627524	3	Paris (75)	Dept. en IDF
#FFA500	48.818232447877	2.4384475102742	3	Paris (75)	Dept. en IDF
#FFA500	48.827615470779	2.406031823401	3	Paris (75)	Dept. en IDF
#FFA500	48.826078980076	2.3909392530738	3	Paris (75)	Dept. en IDF
#FFA500	48.816314210034	2.363946550191	3	Paris (75)	Dept. en IDF
#FFA500	48.817010929642	2.3318980606376	3	Paris (75)	Dept. en IDF
#FFA500	48.82714160912	2.2921959226619	3	Paris (75)	Dept. en IDF
#FFA500	48.832489952145	2.2790519306533	3	Paris (75)	Dept. en IDF
#FFA500	48.827920084226	2.2727931901868	3	Paris (75)	Dept. en IDF
#FFA500	48.834809549369	2.2551442384175	3	Paris (75)	Dept. en IDF
#FFA500	48.845554851211	2.2506124417162	3	Paris (75)	Dept. en IDF
#FFA500	48.853516917557	2.2242191058804	3	Paris (75)	Dept. en IDF
#FFA500	48.86906858161	2.2317363597469	3	Paris (75)	Dept. en IDF
#FFA500	48.880387263086	2.2584671711142	3	Paris (75)	Dept. en IDF
#FFA500	48.877968320853	2.2774870298138	3	Paris (75)	Dept. en IDF
#FFA500	48.8894718708	2.2915068524977	3	Paris (75)	Dept. en IDF
#FFA500	48.90045978209	2.3198871747441	3	Paris (75)	Dept. en IDF
#FFA500	48.908679329899	2.2005910092695	8	Yvelines (78)	Dept. en IDF
#FFA500	48.900349435762	2.1765183808683	8	Yvelines (78)	Dept. en IDF
#FFA500	48.894417281801	2.1677833601069	8	Yvelines (78)	Dept. en IDF
#FFA500	48.873338063287	2.1528705339192	8	Yvelines (78)	Dept. en IDF
#FFA500	48.848852456588	2.1532113486874	8	Yvelines (78)	Dept. en IDF
#FFA500	48.836022751826	2.1458760215967	8	Yvelines (78)	Dept. en IDF
#FFA500	48.817021316976	2.1515805126399	8	Yvelines (78)	Dept. en IDF
#FFA500	48.813043649008	2.1605570086469	8	Yvelines (78)	Dept. en IDF
#FFA500	48.813808667803	2.1766702709493	8	Yvelines (78)	Dept. en IDF
#FFA500	48.797237542236	2.1836952927536	8	Yvelines (78)	Dept. en IDF
#FFA500	48.798400652391	2.2026391702069	8	Yvelines (78)	Dept. en IDF
#FFA500	48.788138691837	2.2115088216259	8	Yvelines (78)	Dept. en IDF
#FFA500	48.785943206962	2.223319655228	8	Yvelines (78)	Dept. en IDF
#FFA500	48.776101996393	2.2265538842831	8	Yvelines (78)	Dept. en IDF
#FFA500	48.769192527247	2.2099186754479	8	Yvelines (78)	Dept. en IDF
#FFA500	48.775122277406	2.1910712604347	8	Yvelines (78)	Dept. en IDF
#FFA500	48.763285114137	2.192317263511	8	Yvelines (78)	Dept. en IDF
#FFA500	48.757574558863	2.1820123672797	8	Yvelines (78)	Dept. en IDF
#FFA500	48.756836536461	2.1680122718546	8	Yvelines (78)	Dept. en IDF
#FFA500	48.752014252613	2.1605126243942	8	Yvelines (78)	Dept. en IDF
#FFA500	48.753710336104	2.1506777536849	8	Yvelines (78)	Dept. en IDF
#FFA500	48.74615342302	2.1384211955586	8	Yvelines (78)	Dept. en IDF
#FFA500	48.737136538566	2.1349745033773	8	Yvelines (78)	Dept. en IDF
#FFA500	48.73955835886	2.1118838344903	8	Yvelines (78)	Dept. en IDF
#FFA500	48.73436321985	2.0979976816391	8	Yvelines (78)	Dept. en IDF
#FFA500	48.724231347633	2.111168267855	8	Yvelines (78)	Dept. en IDF
#FFA500	48.71437841267	2.1103286614936	8	Yvelines (78)	Dept. en IDF
#FFA500	48.702748042418	2.0969343192737	8	Yvelines (78)	Dept. en IDF
#FFA500	48.694030740642	2.0978580418958	8	Yvelines (78)	Dept. en IDF
#FFA500	48.692525773326	2.0857970428575	8	Yvelines (78)	Dept. en IDF
#FFA500	48.68585446348	2.0822157938708	8	Yvelines (78)	Dept. en IDF
#FFA500	48.68756805233	2.0456604451446	8	Yvelines (78)	Dept. en IDF
#FFA500	48.680219226712	2.0376361003153	8	Yvelines (78)	Dept. en IDF
#FFA500	48.664236731798	2.0290327276387	8	Yvelines (78)	Dept. en IDF
#FFA500	48.657259334271	2.0281927750027	8	Yvelines (78)	Dept. en IDF
#FFA500	48.659775158953	2.0112162167678	8	Yvelines (78)	Dept. en IDF
#FFA500	48.647690003816	2.0129881452639	8	Yvelines (78)	Dept. en IDF
#FFA500	48.642090643692	2.0200083770792	8	Yvelines (78)	Dept. en IDF
#FFA500	48.641907744749	2.0359612070725	8	Yvelines (78)	Dept. en IDF
#FFA500	48.632456487516	2.034456506865	8	Yvelines (78)	Dept. en IDF
#FFA500	48.622732498273	2.0458818260422	8	Yvelines (78)	Dept. en IDF
#FFA500	48.617597733568	2.0602471726215	8	Yvelines (78)	Dept. en IDF
#FFA500	48.608729666136	2.0546695680501	8	Yvelines (78)	Dept. en IDF
#FFA500	48.603502290966	2.0345020728388	8	Yvelines (78)	Dept. en IDF
#FFA500	48.590748476784	2.0361244190883	8	Yvelines (78)	Dept. en IDF
#FFA500	48.569459551945	2.017226962458	8	Yvelines (78)	Dept. en IDF
#FFA500	48.557593755935	2.0175700627197	8	Yvelines (78)	Dept. en IDF
#FFA500	48.555387687139	1.999843911355	8	Yvelines (78)	Dept. en IDF
#FFA500	48.555550526577	1.9818197824217	8	Yvelines (78)	Dept. en IDF
#FFA500	48.560481876073	1.9630289819786	8	Yvelines (78)	Dept. en IDF
#FFA500	48.559466252882	1.9527665939994	8	Yvelines (78)	Dept. en IDF
#FFA500	48.562926567593	1.9378900456787	8	Yvelines (78)	Dept. en IDF
#FFA500	48.548106841763	1.9340616493117	8	Yvelines (78)	Dept. en IDF
#FFA500	48.533067716836	1.9674208443859	8	Yvelines (78)	Dept. en IDF
#FFA500	48.523736261273	1.9532944656762	8	Yvelines (78)	Dept. en IDF
#FFA500	48.500865304824	1.9368069560798	8	Yvelines (78)	Dept. en IDF
#FFA500	48.482145535364	1.9333793220099	8	Yvelines (78)	Dept. en IDF
#FFA500	48.473854999246	1.9149199821626	8	Yvelines (78)	Dept. en IDF
#FFA500	48.464861099393	1.9163409812792	8	Yvelines (78)	Dept. en IDF
#FFA500	48.457599361977	1.9221462784913	8	Yvelines (78)	Dept. en IDF
#FFA500	48.447750046159	1.9207376717625	8	Yvelines (78)	Dept. en IDF
#FFA500	48.445672344539	1.9065549813045	8	Yvelines (78)	Dept. en IDF
#FFA500	48.440146719021	1.9064076592587	8	Yvelines (78)	Dept. en IDF
#FFA500	48.440613561663	1.8774887068591	8	Yvelines (78)	Dept. en IDF
#FFA500	48.449360706547	1.8448630603718	8	Yvelines (78)	Dept. en IDF
#FFA500	48.466477806902	1.8363839553347	8	Yvelines (78)	Dept. en IDF
#FFA500	48.466086215218	1.8014512893542	8	Yvelines (78)	Dept. en IDF
#FFA500	48.484187938277	1.7963309289573	8	Yvelines (78)	Dept. en IDF
#FFA500	48.489936911612	1.7857092863217	8	Yvelines (78)	Dept. en IDF
#FFA500	48.497377315443	1.7906352036641	8	Yvelines (78)	Dept. en IDF
#FFA500	48.508131705459	1.7786170432038	8	Yvelines (78)	Dept. en IDF
#FFA500	48.527702827198	1.7757543018107	8	Yvelines (78)	Dept. en IDF
#FFA500	48.553746336139	1.7872423006556	8	Yvelines (78)	Dept. en IDF
#FFA500	48.559405546059	1.7674104287362	8	Yvelines (78)	Dept. en IDF
#FFA500	48.569374568412	1.765322855183	8	Yvelines (78)	Dept. en IDF
#FFA500	48.576137031624	1.7458629248393	8	Yvelines (78)	Dept. en IDF
#FFA500	48.572280930629	1.7368302606076	8	Yvelines (78)	Dept. en IDF
