colour	y	x	key	label	showSelected1	showSelected2	group
#000000	48.4	1	1	16.3 kilometers	2009-04-09:18:11:56	ride	1
#000000	48.4	1	1	17.6 kilometers	2009-04-11:09:52:48	ride	2
#000000	48.4	1	1	24.4 kilometers	2009-04-11:15:51:05	ride	3
#000000	48.4	1	1	6.6 kilometers	2009-04-13:11:59:58	ride	4
#000000	48.4	1	1	4.1 kilometers	2009-04-13:16:39:34	ride	5
#000000	48.4	1	1	20.9 kilometers	2009-04-21:06:54:34	ride	6
#000000	48.4	1	1	16.7 kilometers	2009-04-21:17:04:43	ride	7
#000000	48.4	1	1	15.4 kilometers	2009-04-22:07:22:38	ride	8
#000000	48.4	1	1	19.2 kilometers	2009-04-22:17:10:06	ride	9
#000000	48.4	1	1	21.4 kilometers	2009-04-23:07:07:29	ride	10
#000000	48.4	1	1	13.7 kilometers	2009-04-27:16:57:48	ride	11
#000000	48.4	1	1	14.3 kilometers	2009-04-28:07:06:02	ride	12
#000000	48.4	1	1	17.9 kilometers	2009-04-28:16:52:05	ride	13
#000000	48.4	1	1	22.7 kilometers	2009-04-29:09:00:28	ride	14
#000000	48.4	1	1	15.5 kilometers	2009-04-29:16:24:31	ride	15
#000000	48.4	1	1	13.4 kilometers	2009-04-29:17:49:15	ride	16
#000000	48.4	1	1	16.8 kilometers	2009-04-30:06:50:20	ride	17
#000000	48.4	1	1	16.7 kilometers	2009-04-30:16:54:25	ride	18
#000000	48.4	1	1	52.0 kilometers	2009-05-01:05:28:32	ride	19
#000000	48.4	1	1	59.6 kilometers	2009-05-01:09:27:43	ride	20
#000000	48.4	1	1	45.9 kilometers	2009-05-01:12:41:53	ride	21
#000000	48.4	1	1	34.3 kilometers	2009-05-01:15:52:16	ride	22
#000000	48.4	1	1	14.9 kilometers	2009-05-04:07:18:11	ride	23
#000000	48.4	1	1	16.4 kilometers	2009-05-04:16:13:39	ride	24
#000000	48.4	1	1	15.9 kilometers	2009-05-05:08:02:31	ride	25
#000000	48.4	1	1	17.8 kilometers	2009-05-05:16:32:25	ride	26
#000000	48.4	1	1	15.0 kilometers	2009-05-06:07:59:05	ride	27
#000000	48.4	1	1	27.6 kilometers	2009-05-06:16:22:50	ride	28
#000000	48.4	1	1	15.9 kilometers	2009-05-07:06:49:31	ride	29
#000000	48.4	1	1	17.6 kilometers	2009-05-07:18:30:24	ride	30
#000000	48.4	1	1	14.3 kilometers	2009-05-11:10:43:59	ride	31
#000000	48.4	1	1	15.2 kilometers	2009-05-11:17:11:27	ride	32
#000000	48.4	1	1	15.4 kilometers	2009-05-12:07:08:48	ride	33
#000000	48.4	1	1	5.3 kilometers	2009-05-12:17:04:56	ride	34
#000000	48.4	1	1	5.7 kilometers	2009-05-12:17:53:45	ride	35
#000000	48.4	1	1	16.0 kilometers	2009-05-13:06:56:19	ride	36
#000000	48.4	1	1	17.9 kilometers	2009-05-13:16:31:56	ride	37
#000000	48.4	1	1	15.0 kilometers	2009-05-14:08:25:13	ride	38
#000000	48.4	1	1	17.8 kilometers	2009-05-14:16:54:51	ride	39
#000000	48.4	1	1	16.8 kilometers	2009-05-18:07:12:45	ride	40
#000000	48.4	1	1	17.3 kilometers	2009-05-19:07:16:30	ride	41
#000000	48.4	1	1	17.7 kilometers	2009-05-19:17:16:32	ride	42
#000000	48.4	1	1	17.7 kilometers	2009-05-20:08:14:40	ride	43
#000000	48.4	1	1	17.7 kilometers	2009-05-20:16:12:12	ride	44
#000000	48.4	1	1	16.5 kilometers	2009-05-21:10:39:03	ride	45
#000000	48.4	1	1	30.4 kilometers	2009-05-21:15:09:59	ride	46
#000000	48.4	1	1	13.2 kilometers	2009-05-22:09:04:06	ride	47
#000000	48.4	1	1	4.4 kilometers	2009-05-22:11:50:59	ride	48
#000000	48.4	1	1	17.7 kilometers	2009-05-25:16:22:05	ride	49
#000000	48.4	1	1	8.3 kilometers	2009-05-25:18:21:16	ride	50
#000000	48.4	1	1	23.1 kilometers	2009-05-26:17:46:35	ride	51
#000000	48.4	1	1	17.7 kilometers	2009-05-27:06:59:24	ride	52
#000000	48.4	1	1	17.7 kilometers	2009-05-27:16:39:11	ride	53
#000000	48.4	1	1	17.8 kilometers	2009-05-28:08:25:08	ride	54
#000000	48.4	1	1	15.3 kilometers	2009-05-28:18:53:51	ride	55
#000000	48.4	1	1	3.0 kilometers	2009-05-30:07:22:36	ride	56
#000000	48.4	1	1	25.0 kilometers	2009-05-30:08:29:31	ride	57
#000000	48.4	1	1	29.6 kilometers	2009-05-30:14:48:13	ride	58
#000000	48.4	1	1	16.2 kilometers	2009-05-30:17:58:35	ride	59
#000000	48.4	1	1	28.8 kilometers	2009-05-30:21:33:48	ride	60
#000000	48.4	1	1	22.0 kilometers	2009-06-02:17:17:15	ride	61
#000000	48.4	1	1	19.2 kilometers	2009-06-03:20:05:43	ride	62
#000000	48.4	1	1	17.3 kilometers	2009-06-05:07:34:48	ride	63
#000000	48.4	1	1	26.9 kilometers	2009-06-07:10:23:12	ride	64
#000000	48.4	1	1	54.6 kilometers	2009-06-14:04:41:58	ride	65
#000000	48.4	1	1	49.5 kilometers	2009-06-14:08:18:32	ride	66
#000000	48.4	1	1	12.4 kilometers	2009-06-14:11:41:19	ride	67
#000000	48.4	1	1	18.0 kilometers	2009-06-14:16:15:28	ride	68
#000000	48.4	1	1	27.4 kilometers	2009-06-18:14:21:13	ride	69
#000000	48.4	1	1	21.1 kilometers	2009-06-22:08:55:44	ride	70
#000000	48.4	1	1	13.7 kilometers	2009-06-22:10:24:12	ride	71
#000000	48.4	1	1	20.1 kilometers	2009-06-23:16:32:10	ride	72
#000000	48.4	1	1	22.4 kilometers	2009-06-23:20:12:13	ride	73
#000000	48.4	1	1	22.1 kilometers	2009-06-23:22:03:48	ride	74
#000000	48.4	1	1	17.7 kilometers	2009-06-24:11:03:54	ride	75
#000000	48.4	1	1	42.8 kilometers	2009-06-27:07:55:49	ride	76
#000000	48.4	1	1	31.0 kilometers	2009-06-27:17:24:36	ride	77
#000000	48.4	1	1	52.9 kilometers	2009-07-04:10:46:25	ride	78
#000000	48.4	1	1	55.2 kilometers	2009-07-04:14:24:26	ride	79
#000000	48.4	1	1	18.3 kilometers	2009-07-04:19:12:01	ride	80
#000000	48.4	1	1	9.2 kilometers	2009-07-30:12:11:53	ride	81
#000000	48.4	1	1	52.4 kilometers	2009-08-09:10:28:17	ride	82
#000000	48.4	1	1	20.4 kilometers	2009-08-10:07:34:42	ride	83
#000000	48.4	1	1	19.6 kilometers	2009-08-11:07:48:30	ride	84
#000000	48.4	1	1	58.5 kilometers	2009-08-16:06:47:55	ride	85
#000000	48.4	1	1	42.2 kilometers	2009-08-16:11:26:17	ride	86
#000000	48.4	1	1	30.9 kilometers	2009-08-19:17:19:57	ride	87
#000000	48.4	1	1	46.0 kilometers	2009-08-23:06:44:18	ride	88
#000000	48.4	1	1	47.1 kilometers	2009-08-23:09:38:53	ride	89
#000000	48.4	1	1	22.1 kilometers	2009-08-27:17:58:03	ride	90
#000000	48.4	1	1	11.0 kilometers	2009-08-27:21:22:01	ride	91
#000000	48.4	1	1	19.9 kilometers	2009-08-28:06:50:51	ride	92
#000000	48.4	1	1	46.2 kilometers	2009-08-29:13:08:43	ride	93
#000000	48.4	1	1	25.7 kilometers	2009-08-30:04:29:06	ride	94
#000000	48.4	1	1	62.1 kilometers	2009-08-30:07:22:48	ride	95
#000000	48.4	1	1	50.9 kilometers	2009-08-30:11:55:25	ride	96
#000000	48.4	1	1	18.0 kilometers	2009-08-30:14:56:52	ride	97
#000000	48.4	1	1	16.9 kilometers	2009-08-30:16:33:46	ride	98
#000000	48.4	1	1	15.7 kilometers	2009-09-07:10:08:30	ride	99
#000000	48.4	1	1	32.6 kilometers	2009-09-27:06:11:39	ride	100
#000000	48.4	1	1	46.7 kilometers	2009-09-27:08:19:41	ride	101
#000000	48.4	1	1	9.8 kilometers	2009-09-27:11:04:22	ride	102
#000000	48.4	1	1	24.2 kilometers	2009-09-27:12:53:49	ride	103
#000000	48.4	1	1	43.0 kilometers	2009-09-27:14:19:10	ride	104
#000000	48.4	1	1	19.7 kilometers	2009-10-04:11:35:58	ride	105
#000000	48.4	1	1	27.1 kilometers	2009-10-04:13:10:21	ride	106
#000000	48.4	1	1	6.9 kilometers	2009-10-07:18:41:11	ride	107
#000000	48.4	1	1	48.7 kilometers	2009-10-11:08:51:39	ride	108
#000000	48.4	1	1	18.0 kilometers	2009-10-11:12:10:11	ride	109
#000000	48.4	1	1	64.7 kilometers	2009-10-25:07:22:37	ride	110
#000000	48.4	1	1	44.0 kilometers	2009-10-25:10:25:19	ride	111
